match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Lewis Hall,Newcastle United,Liverpool,3.5,4,Neds
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Lewis Miley,Newcastle United,Liverpool,3.5,3.45,Neds
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Joelinton,Newcastle United,Liverpool,3.5,2.95,Neds
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Kieran Trippier,Newcastle United,Liverpool,3.5,4,Neds
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Curtis Jones,Liverpool,Newcastle United,3.5,3.6,Neds
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Wataru Endo,Liverpool,Newcastle United,3.5,3.45,Neds
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Bruno Guimar<c3><a3>es,NA,NA,3.5,3.35,Neds
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Alexis Mac Allister,Liverpool,Newcastle United,3.5,2.9,Neds
Newcastle United v Liverpool,Newcastle United,Liverpool,Player Tackles,Dominik Szoboszlai,Liverpool,Newcastle United,3.5,3.35,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Patrick Dorgu,Manchester United,Fulham,2.5,2.3,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Sa<c5><a1>a Luki<c4><87>,NA,NA,2.5,1.8199999999999998,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Diogo Dalot,Manchester United,Fulham,2.5,3.1,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Mason Mount,Manchester United,Fulham,2.5,3.25,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Timothy Castagne,Fulham,Manchester United,2.5,2.25,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Sander Berge,Fulham,Manchester United,2.5,2.05,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Casemiro,Manchester United,Fulham,2.5,2.55,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Manuel Ugarte,Manchester United,Fulham,2.5,3,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Jorge Cuenca,Fulham,Manchester United,2.5,2.55,Neds
Fulham v Manchester United,Fulham,Manchester United,Player Tackles,Bruno Fernandes,Manchester United,Fulham,2.5,2.65,Neds
