match,player_name,line,over_price,market_name,agency,under_price,player_team
Brentford v Nottingham Forest,Aaron Hickey,0.5,1.83,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Aaron Hickey,1.5,5,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Aaron Hickey,2.5,15,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Aaron Hickey,3.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Aaron Hickey,4.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Aaron Hickey,5.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Aaron Hickey,6.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Aaron Hickey,7.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Aaron Hickey,8.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Archie Whitehall,0.5,1.61,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Archie Whitehall,1.5,3.75,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Archie Whitehall,2.5,10,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Archie Whitehall,3.5,21,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Archie Whitehall,4.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Archie Whitehall,5.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Archie Whitehall,6.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Archie Whitehall,7.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Archie Whitehall,8.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,0.5,1.4,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,1.5,2.62,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,2.5,6.5,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,3.5,15,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,4.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,5.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,6.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,7.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ben Hammond,8.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Benjamin Arthur,0.5,1.72,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Benjamin Arthur,1.5,4.33,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Benjamin Arthur,2.5,13,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Benjamin Arthur,3.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Benjamin Arthur,4.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Benjamin Arthur,5.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Benjamin Arthur,6.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Benjamin Arthur,7.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Benjamin Arthur,8.5,NA,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Callum Hudson-Odoi,0.5,1.25,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Callum Hudson-Odoi,1.5,2.1,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Callum Hudson-Odoi,2.5,4.33,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Callum Hudson-Odoi,3.5,11,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Callum Hudson-Odoi,4.5,21,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Callum Hudson-Odoi,5.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Callum Hudson-Odoi,6.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Callum Hudson-Odoi,7.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Callum Hudson-Odoi,8.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,0.5,1.33,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,1.5,2.37,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,2.5,5.5,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,3.5,13,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,4.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,5.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,6.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,7.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dan Ndoye,8.5,NA,Player Shots,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Dango Ouattara,0.5,1.05,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Dango Ouattara,1.5,1.28,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Dango Ouattara,2.5,1.83,Player Shots,Bet365,NA,Brentford
Brentford v Nottingham Forest,Dango Ouattara,3.5,3,Player Shots,Bet365,NA,Brentford
